Package,Built
abcrf,3.5.0
abind,3.5.0
ACD,3.5.0
acepack,3.5.0
actuar,3.5.0
ada,3.5.0
adabag,3.5.0
ade4,3.5.1
AER,3.5.2
afex,3.5.2
agricolae,3.5.1
AlgDesign,3.5.0
Amelia,3.5.0
animation,3.5.0
ANLP,3.5.0
AnnotationDbi,3.2.0
ape,3.5.1
AppliedPredictiveModeling,3.5.0
aqp,3.5.1
arm,3.5.0
assertive,3.5.0
assertive.base,3.5.0
assertive.code,3.5.1
assertive.data,3.5.1
assertive.data.uk,3.5.1
assertive.data.us,3.5.1
assertive.datetimes,3.5.0
assertive.files,3.5.0
assertive.matrices,3.5.0
assertive.models,3.5.1
assertive.numbers,3.5.0
assertive.properties,3.5.0
assertive.reflection,3.5.0
assertive.sets,3.5.0
assertive.strings,3.5.0
assertive.types,3.5.0
assertthat,3.5.0
attempt,3.5.1
autoplotly,3.5.0
aws.iam,3.5.0
aws.s3,3.5.0
aws.signature,3.5.0
babynames,3.5.0
backports,3.5.0
base64enc,3.5.0
BaSTA,3.5.0
BayesFactor,3.5.0
bayesplot,3.5.0
bayess,3.5.0
bazar,3.5.1
BDgraph,3.5.1
bdsmatrix,3.5.0
beeswarm,3.5.0
benchmarkme,3.5.0
benchmarkmeData,3.5.0
BetaBit,3.5.0
BH,3.5.0
bibtex,3.5.0
bigalgebra,3.5.2
biganalytics,3.5.0
biglasso,3.5.0
biglm,3.5.0
bigmemory,3.5.0
bigmemory.sri,3.5.0
bigpca,3.4.4
bigQueryR,3.5.0
bigtabulate,3.5.0
bindr,3.5.0
bindrcpp,3.5.0
binman,3.5.0
binomTools,3.4.1
Biobase,3.2.0
BiocGenerics,3.2.0
BiocInstaller,3.4.1
bit,3.5.0
bit64,3.5.0
bitops,3.5.0
blme,3.5.0
blob,3.5.0
blogdown,3.5.0
blscrapeR,3.5.0
bmp,3.5.0
bookdown,3.5.2
Boom,3.5.0
BoomSpikeSlab,3.5.0
bootstrap,3.5.0
BradleyTerry2,3.5.0
brew,3.5.0
brglm,3.5.0
bridgesampling,3.5.0
brms,3.5.0
Brobdingnag,3.5.1
broom,3.5.1
broom.mixed,3.5.2
bsts,3.5.0
BWStest,3.5.2
ca,3.5.0
cairoDevice,3.5.0
callr,3.5.2
car,3.5.1
carData,3.5.0
caret,3.5.0
caretEnsemble,3.5.0
caTools,3.5.0
catsplainr,3.2.4
CausalImpact,3.5.0
cba,3.5.0
CCP,3.5.0
cellranger,3.5.0
changes,3.4.3
checkmate,3.5.0
checkpoint,3.5.1
chron,3.5.0
classInt,3.5.0
cli,3.5.1
clipr,3.5.0
clisymbols,3.5.1
clue,3.5.1
CluMix,3.5.0
clusterfly,3.5.0
clusteval,3.5.0
clustMixType,3.5.1
ClustOfVar,3.5.0
cmprsk,3.5.0
coda,3.5.0
coin,3.5.0
colorRamps,3.5.0
colorspace,3.5.0
colourpicker,3.5.0
combinat,3.5.0
commonmark,3.5.1
compare,3.5.0
comparison,3.5.0
complainr,3.2.4
config,3.5.0
contfrac,3.5.0
CORElearn,3.5.0
corpcor,3.5.0
corrplot,3.5.0
corrr,3.5.1
couchDB,3.5.0
countrycode,3.5.0
covr,3.5.1
cowplot,3.5.0
cowsay,3.5.0
crayon,3.5.0
crosstalk,3.5.0
crul,3.5.0
cubature,3.5.0
Cubist,3.5.0
curl,3.5.0
CVST,3.5.0
d3Network,3.5.0
d3scatter,3.4.3
Daim,3.5.0
data.table,3.5.0
dataPreparation,3.5.1
