Package,LibPath,Version,Priority,License,License_is_FOSS,NeedsCompilation,Built
abcrf,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.7.1,NA,GPL (>= 2),NA,yes,3.5.0
abind,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.4-5,NA,LGPL (>= 2),NA,no,3.5.0
ACD,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.5.3,NA,GPL (>= 2),NA,no,3.5.0
acepack,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.4.1,NA,MIT + file LICENSE,NA,yes,3.5.0
actuar,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.3-1,NA,GPL (>= 2),NA,yes,3.5.0
ada,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.0-5,NA,GPL,NA,no,3.5.0
adabag,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,4.2,NA,GPL (>= 2),NA,no,3.5.0
ade4,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.7-13,NA,GPL (>= 2),NA,yes,3.5.1
AER,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.2-6,NA,GPL-2 | GPL-3,NA,no,3.5.2
afex,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.22-1,NA,GPL (>= 2),NA,no,3.5.2
agricolae,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.2-8,NA,GPL,NA,no,3.5.1
AlgDesign,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1-7.3,NA,GPL (>= 2),NA,yes,3.5.0
Amelia,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.7.5,NA,GPL (>= 2),NA,yes,3.5.0
animation,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.6,NA,GPL,NA,no,3.5.0
ANLP,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3,NA,GPL-3,NA,no,3.5.0
AnnotationDbi,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.30.1,NA,Artistic-2.0,NA,no,3.2.0
ape,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,5.2,NA,GPL (>= 2),NA,yes,3.5.1
AppliedPredictiveModeling,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1-7,NA,GPL-2,NA,no,3.5.0
aqp,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.16-3,NA,GPL (>= 3),NA,no,3.5.1
arm,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.10-1,NA,GPL (>= 3),NA,no,3.5.0
assertive,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.3-5,NA,GPL (>= 3),NA,no,3.5.0
assertive.base,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0-7,NA,GPL (>= 3),NA,no,3.5.0
assertive.code,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0-3,NA,GPL (>= 3),NA,no,3.5.1
assertive.data,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0-3,NA,GPL (>= 3),NA,no,3.5.1
assertive.data.uk,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0-2,NA,GPL (>= 3),NA,no,3.5.1
assertive.data.us,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.0-2,NA,GPL (>= 3),NA,no,3.5.1
